Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
3990259,27,752,235,6444,793
3990324,22,281,102,201,93
3990343,32,8255,1286,271,102
3990358,34,385,173,2443,583
3990372,28,3552,1018,181,79
3990491,28,855,261,6770,1633
3990521,26,211,95,1005,347
3990541,40,272,107,950,243
3990554,18,3821,498,1850,576
3990608,34,257,120,2704,816
4010068,33,8612,1641,1074,267
4010121,34,3060,688,137,71
4010139,32,1921,398,149,73
4010142,41,3919,913,3591,675
4010176,26,367,142,5137,712
4010180,33,247,83,3420,702
4010433,26,2576,744,3423,676
4010435,25,258,126,163,87
4010458,16,185,72,172,97
4010484,39,1998,433,14641,1811
4010494,27,217,120,216,108
4010575,47,4253,1055,4846,1044
4010592,33,4975,1228,644,268
4010603,40,12825,2961,349,174
4010632,35,7283,1436,3345,628
4040204,32,7368,1465,237,110
4040360,20,224,65,2094,665
4040373,27,477,169,5667,1133
4040414,27,1030,359,175,87
4040435,35,3735,1213,238,84
4040437,34,536,152,8015,1214
4040446,33,10403,2210,313,122
4040458,27,213,76,297,120
4040468,29,284,134,195,98
4040482,23,333,121,178,68
4040594,24,229,57,3412,619
4040605,43,7421,1447,7147,1127
4040632,26,8923,2299,3760,1129
4040670,29,344,136,6075,1582
4040687,22,4926,1046,1030,290
4040707,31,185,78,1727,669
4040725,32,7373,1521,1585,456
4050035,39,534,177,6503,1048
4050066,23,5917,976,3401,552
4050095,32,6109,1535,6644,1429
4050162,24,3627,859,2268,567
4050192,35,194,99,618,194
4050315,30,11400,1670,754,270
4050400,31,990,222,2319,592
4050446,18,6480,1128,2461,507
4050722,32,244,104,1951,536
4050767,27,5488,1158,256,87
4060022,21,304,154,605,163
4060035,30,239,68,2213,342
4060053,40,307,128,6393,800
4060091,28,214,95,4982,920
4060092,25,272,95,984,318
4060095,41,332,121,5870,1195
4060142,32,571,171,559,176
4060195,21,283,86,11574,2082
4060382,35,1148,307,7470,1316
4060386,36,504,178,3681,644
4060392,24,5045,1113,200,77
4060471,38,1499,385,995,286
4060474,28,3467,715,183,74
4060487,33,405,181,154,84
4060553,22,3472,726,227,107
4060575,28,4142,1143,686,289
4060735,31,4001,761,2908,574
4060768,49,10918,1682,346,119
4070014,31,1896,705,5973,1817
4070040,37,2342,601,167,85
4070088,32,4244,1179,918,445
4070136,27,4456,1300,250,105
4070239,24,6974,1378,200,69
4070259,21,1387,442,229,107
4070328,24,207,73,7609,1040
4070333,38,432,150,11624,1508
4070414,41,743,280,334,163
4070441,22,437,185,2296,639
4070484,36,294,89,4413,760
4070673,37,927,229,8468,1437
4120010,35,216,124,331,118
4120040,33,8311,1723,709,280
4120047,28,705,215,10111,1425
